,variable,value
0,1993,Riyadh
1,1994,Riyadh
2,1995,Riyadh
3,1996,Riyadh
4,1997,Riyadh
5,1998,Riyadh
6,1999,Makkah
7,2000,Makkah
8,2001,Makkah
9,2002,Makkah
10,2003,Eastern Region
11,2004,Makkah
12,2005,Eastern Region
13,2006,Eastern Region
14,2007,Eastern Region
15,2008,Eastern Region
16,2009,Makkah
17,2010,Makkah
18,2011,Eastern Region
19,2012,Makkah
20,2013,Riyadh
21,2014,Riyadh
22,2015,Makkah
23,2016,Riyadh
24,2017,Riyadh
