,year,region,geo_point,x,y,accidents,casualties_dead,casualties_injured
16,2017,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,81433,963,4073
20,2017,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,145541,1641,10623
24,2017,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,99925,1399,4540
